Epc,reflist_run_id,slice_id_IN,in_IN,out_IN,order_IN,slice_id_OUT,in_OUT,out_OUT,order_OUT,refListId_actual,Q refListId_actual,pred_ana_bool,Nombre de lectures
epc_166,2_19,mid_1,-50.0,-110.0,4,up_2,-60.0,-55.0,2,2,34,True,34
epc_165,2_39,up_2,-59.0,-110.0,2,up_1,-110.0,-50.0,1,2,34,True,33
epc_165,2_4,mid_0,-55.0,-110.0,3,up_2,-72.0,-49.0,2,2,34,True,33
epc_165,2_5,mid_0,-59.0,-110.0,3,up_1,-110.0,-50.0,1,2,34,True,33
epc_165,2_6,up_2,-59.0,-110.0,2,up_0,-110.0,-49.0,0,2,34,True,33
epc_165,2_7,mid_0,-54.0,-110.0,3,up_0,-73.0,-48.0,0,2,34,True,33
epc_165,2_8,up_2,-60.0,-110.0,2,up_1,-72.0,-51.0,1,2,34,True,33
epc_166,2_2,mid_0,-59.0,-110.0,3,up_1,-66.0,-61.0,1,2,34,True,34
epc_165,2_9,mid_0,-53.0,-110.0,3,up_2,-110.0,-49.0,2,2,34,True,33
epc_166,2_11,mid_0,-52.0,-110.0,3,up_2,-65.0,-62.0,2,2,34,True,34
epc_166,2_12,mid_0,-60.0,-110.0,3,up_1,-110.0,-58.0,1,2,34,True,34
epc_166,2_13,up_2,-60.0,-110.0,2,up_1,-110.0,-57.0,1,2,34,True,34
epc_166,2_14,mid_0,-50.0,-110.0,3,up_1,-110.0,-55.0,1,2,34,True,34
epc_166,2_15,up_2,-61.0,-110.0,2,up_1,-110.0,-57.0,1,2,34,True,34
epc_166,2_17,mid_0,-57.0,-110.0,3,up_1,-110.0,-57.0,1,2,34,True,34
epc_166,2_10,mid_0,-60.0,-110.0,3,up_1,-66.0,-64.0,1,2,34,True,34
epc_168,2_6,up_2,-65.0,-110.0,2,up_0,-110.0,-52.0,0,2,34,True,34
epc_160,2_10,mid_0,-49.0,-110.0,3,up_1,-110.0,-60.0,1,2,34,True,32
epc_168,2_8,up_2,-66.0,-110.0,2,up_1,-110.0,-55.0,1,2,34,True,34
epc_172,2_11,mid_0,-50.0,-110.0,3,up_2,-64.0,-62.0,2,2,34,True,36
epc_172,2_10,mid_0,-48.0,-110.0,3,up_1,-69.0,-58.0,1,2,34,True,36
epc_171,2_9,mid_0,-67.0,-110.0,3,up_2,-67.0,-60.0,2,2,34,True,33
epc_171,2_8,up_2,-62.0,-68.0,2,up_1,-110.0,-58.0,1,2,34,True,33
epc_171,2_7,mid_0,-60.0,-110.0,3,up_1,-65.0,-64.0,1,2,34,True,33
epc_171,2_6,mid_0,-60.0,-110.0,3,up_2,-66.0,-64.0,2,2,34,True,33
epc_171,2_5,mid_0,-65.0,-110.0,3,up_2,-66.0,-61.0,2,2,34,True,33
epc_171,2_4,mid_2,-56.0,-110.0,5,up_2,-64.0,-63.0,2,2,34,True,33
epc_171,2_39,up_2,-61.0,-67.0,2,up_1,-110.0,-60.0,1,2,34,True,33
epc_171,2_38,mid_1,-57.0,-110.0,4,mid_0,-62.0,-61.0,3,2,34,True,33
epc_171,2_37,up_2,-62.0,-110.0,2,up_1,-71.0,-62.0,1,2,34,True,33
epc_171,2_36,up_2,-65.0,-110.0,2,up_0,-73.0,-59.0,0,2,34,True,33
epc_171,2_35,mid_0,-64.0,-110.0,3,up_1,-110.0,-61.0,1,2,34,True,33
epc_171,2_34,up_2,-64.0,-66.0,2,up_1,-110.0,-58.0,1,2,34,True,33
epc_171,2_33,up_2,-53.0,-110.0,2,up_1,-67.0,-60.0,1,2,34,True,33
epc_171,2_31,mid_1,-55.0,-110.0,4,up_1,-67.0,-58.0,1,2,34,True,33
epc_171,2_30,mid_0,-62.0,-110.0,3,up_2,-110.0,-63.0,2,2,34,True,33
epc_171,2_14,mid_0,-61.0,-110.0,3,up_1,-110.0,-60.0,1,2,34,True,33
epc_171,2_15,up_1,-74.0,-110.0,1,up_2,-110.0,-61.0,2,2,34,True,33
epc_171,2_17,mid_1,-57.0,-110.0,4,up_1,-110.0,-62.0,1,2,34,True,33
epc_171,2_19,mid_1,-51.0,-71.0,4,up_2,-110.0,-62.0,2,2,34,True,33
epc_171,2_2,mid_0,-57.0,-110.0,3,up_1,-66.0,-56.0,1,2,34,True,33
epc_171,2_20,up_2,-59.0,-63.0,2,up_1,-71.0,-56.0,1,2,34,True,33
epc_172,2_12,mid_0,-66.0,-110.0,3,up_1,-67.0,-53.0,1,2,34,True,36
epc_171,2_21,mid_1,-56.0,-110.0,4,up_2,-110.0,-62.0,2,2,34,True,33
epc_171,2_24,mid_1,-54.0,-110.0,4,up_2,-71.0,-60.0,2,2,34,True,33
epc_171,2_25,mid_0,-60.0,-110.0,3,up_1,-68.0,-56.0,1,2,34,True,33
epc_171,2_26,mid_0,-58.0,-110.0,3,up_2,-110.0,-63.0,2,2,34,True,33
epc_171,2_27,mid_0,-61.0,-110.0,3,up_1,-70.0,-55.0,1,2,34,True,33
epc_171,2_28,mid_0,-59.0,-110.0,3,up_1,-110.0,-60.0,1,2,34,True,33
epc_171,2_29,up_2,-56.0,-73.0,2,up_1,-110.0,-57.0,1,2,34,True,33
epc_171,2_22,mid_0,-60.0,-110.0,3,up_2,-110.0,-55.0,2,2,34,True,33
epc_171,2_13,up_2,-65.0,-110.0,2,up_1,-110.0,-56.0,1,2,34,True,33
epc_172,2_13,up_2,-64.0,-110.0,2,up_1,-110.0,-51.0,1,2,34,True,36
epc_172,2_17,up_1,-80.0,-110.0,1,up_0,-110.0,-57.0,0,2,34,True,36
epc_168,2_7,mid_0,-61.0,-110.0,3,up_1,-70.0,-59.0,1,2,34,True,34
epc_173,2_10,mid_2,-67.0,-110.0,5,up_1,-110.0,-54.0,1,2,34,True,34
epc_172,3_29,up_1,-65.0,-110.0,1,up_0,-110.0,-68.0,0,2,34,False,36
epc_172,3_2,up_2,-65.0,-110.0,2,up_0,-110.0,-71.0,0,2,34,False,36
epc_172,2_9,mid_0,-52.0,-110.0,3,up_2,-63.0,-56.0,2,2,34,True,36
epc_172,2_8,up_2,-61.0,-110.0,2,up_1,-73.0,-55.0,1,2,34,True,36
epc_172,2_7,mid_0,-58.0,-110.0,3,up_1,-110.0,-52.0,1,2,34,True,36
epc_172,2_6,up_2,-63.0,-110.0,2,up_0,-110.0,-57.0,0,2,34,True,36
epc_172,2_5,mid_0,-58.0,-110.0,3,up_2,-65.0,-63.0,2,2,34,True,36
epc_172,2_4,mid_0,-56.0,-110.0,3,up_2,-67.0,-53.0,2,2,34,True,36
epc_172,2_39,up_2,-63.0,-110.0,2,up_1,-110.0,-51.0,1,2,34,True,36
epc_172,2_38,mid_0,-63.0,-69.0,3,up_1,-110.0,-58.0,1,2,34,True,36
epc_172,2_37,up_2,-60.0,-110.0,2,up_1,-70.0,-50.0,1,2,34,True,36
epc_172,2_36,up_2,-66.0,-110.0,2,up_0,-83.0,-52.0,0,2,34,True,36
epc_172,2_35,mid_0,-59.0,-110.0,3,up_1,-64.0,-62.0,1,2,34,True,36
epc_172,2_34,up_2,-64.0,-110.0,2,up_1,-110.0,-61.0,1,2,34,True,36
epc_172,2_33,up_2,-55.0,-69.0,2,up_1,-68.0,-58.0,1,2,34,True,36
epc_172,2_19,mid_1,-50.0,-110.0,4,up_2,-62.0,-60.0,2,2,34,True,36
epc_172,2_2,mid_0,-55.0,-110.0,3,up_1,-67.0,-61.0,1,2,34,True,36
epc_172,2_20,up_2,-59.0,-110.0,2,up_1,-110.0,-56.0,1,2,34,True,36
